titre,entreprise,localisation,competences_cles,niveau_etudes_requis,niveau_experience,contrat_propose,date_publication,lien
Chargé(e) de Prescription - Casablanca,COLORADO,Casablanca-Mohammedia,"['BTP ', ' Projets BTP']",Bac+4,Expérience entre 2 ans et 5 ans et plus,CDI,22.01.2025,https://www.emploi.ma/offre-emploi-maroc/chargee-prescription-casablanca-8399797
titre,entreprise,localisation,competences_cles,niveau_etudes_requis,niveau_experience,contrat_propose,date_publication,lien
Agent Général - Béni Mellal et Région,RMA ASSURANCE,Béni Mellal-Khénifra,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-azilalfequih-ben-salehdemnate-8692138
Agent Général - Marrakech et Région,RMA ASSURANCE,Marrakech-Safi,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-marrakechourikaben-guerir-8692196
Conseiller Commercial en Rachat de Crédit - Tanger,PARTNERS FINANCES,Tanger-Tétouan-Al Hoceïma,"['Conseil ', ' Négociation ', ' Vente']",Bac+4 & Bac+5 et plus,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDI & Anapec,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/conseiller-commercial-rachat-credit-8284602
Agent Général - Lâayoune et Région,RMA ASSURANCE,Laâyoune,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-errachidiazaidaarfoud-8692152
Agent Général - Oujda et Région,RMA ASSURANCE,Oujda,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-oujdaberkanejerada-8692202
Directeur F/H - Fès,INSTITUT DE FORMATION AUX MÉTIERS DU BTP,Fès,"['Gestion ', ' Leadership ', ' Management ', ' Planification']",Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/directeur-fh-fes-8698922
Comptable Interne Expérimenté(e) - Marrakech,OBJECTIF SÉCURITÉ ÉDUCATION ROUTIÈRE,Marrakech-Safi,"['Comptabilité ', ' Comptabilité Générale ', ' États Financiers ', ' Finance ', ' Gestion ', ' Gestion des Immobilisations ', ' Gestion Financière ', ' Trésorerie']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/comptable-interne-experimentee-alfassi-8707524
Demi Chef de Partie Oriental Cuisine Chaude - Nouakchott,FASQ HOTEL,International,['Cuisine'],"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDD,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/demi-chef-partie-oriental-cuisine-chaude-nouakchott-8714148
"Représentant Commercial et Pédagogique Terrain -Secteur de L’Éducation - Salé,Kénitra",CALLIOPE,Rabat-Salé-Kénitra,"['Techniques de Vente ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/representant-commercial-pedagogique-terrain-secteur-education-salekenitra-8717283
Technicien de Bâtiment 2D/3D  - Beni Mellal - Fkih Ben Salah,OH ARCHITECTURE,Béni Mellal-Khénifra,['3D 2D'],"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-batiment-2d3d-beni-mellal-fkih-ben-salah-8717901
Responsable Exploitation (Services Energétiques) - Casablanca - Rabat,N/A,Casablanca-Mohammedia & Rabat-Salé-Kénitra,"['Devis ', ' Maintenance ', ' Maintenance Préventive ', ' Production ', ' Qualité ', ' Réparation']",Bac+5 et plus,Expérience > 10 ans,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-technique-maintenance-casablanca-rabat-8721964
Responsable Administratif et Commercial - Tétouan,SALAM GAZ,Fès - Meknès - Rabat-Salé-Kénitra & Tanger-Tétouan-Al Hoceïma,"['Maintenance ', ' Qualité']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-administratif-commercial-tetouan-8725382
Consultant JAVA J/2EE (Senior) - Casablanca,VISION BUSINESS CONSULTING,Casablanca-Mohammedia,"['EJB ', ' GIT ', ' HIBERNATE ', ' J2EE ', ' JAVA ', ' JDBC ', ' JENKINS ', ' JSP ', ' MAVEN ', ' SPRING ', ' SQL ', ' STRUTS ', ' TOMCAT ', ' WEBLOGIC ', ' XML ', ' XSLT']",Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Freelance,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/consultant-java-j2ee-senior-casablanca-8731637
Comptable (H/F)  - Meknès,PELLENC MAROC,Meknès,"['Comptabilité ', ' Comptabilité Financière ', ' États Financiers ', ' Facturation ', ' Finance ', ' Gestion ', ' Gestion de la Trésorerie ', ' Rapports Financiers ', ' Trésorerie']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/comptable-hf-meknes-8731713
Infirmière Polyvalente - Meknès,LEAR CORPORATION MEKNES,Fès & Meknès,"['Infirmerie ', ' Santé']",Bac+2 & Bac+3,"Etudiant, jeune diplômé & Débutant < 2 ans",Stage,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/infirmiere-polyvalente-meknes-8733834
Responsable HSE Expérimenté - Casablanca,SOFT GROUP HOLDING,Casablanca-Mohammedia,"['Amélioration Continue ', ' Maintenance ', ' Production ', ' Qualité']",Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-hse-experimente-casablanca-8734494
Commercial(e) Terrain B2B – Systèmes D´Information - Casablanca,ERUDIA SYSTÈME,Casablanca-Mohammedia - Rabat-Salé-Kénitra & Settat,"['Communication ', ' Développement Commercial ', ' Négociation ', ' Prospection ', ' Vente']","Bac+2, Bac+3 & Bac+4",Expérience entre 2 ans et 5 ans,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/commerciale-terrain-b2b-systemes-information-casablanca-8734681
Directeur Technique : Ingénieur Structure Confirmé  - Témara,BETA ETUDES,Rabat-Salé-Kénitra,"['Communication ', ' Développement Commercial ', ' Négociation ', ' Prospection ', ' Vente']",Bac+5 et plus,Expérience entre 5 ans et 10 ans,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/directeur-technique-ingenieur-structure-confirme-temara-8735877
Technico-Commercial en Produits Chimiques - Casablanca,N/A,Casablanca-Mohammedia,"['Commercialisation ', ' Suivi des Ventes']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/charge-compte-client-casablanca-8739873
Commercial Export - Marrakech,STE BE ARTISAN,Marrakech-Safi,"['Commercialisation ', ' Négociation ', ' Prospection ', ' Techniques de Vente ', ' Vente']",Bac+3,Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/commercial-export-marrakech-8745681
Marketing Manager - Casablanca Finance City,XXL PERFORMANCE,Casablanca-Mohammedia,"['Assistanat ', ' Communication ', ' CRM ', "" Gestion d'Équipe "", ' Marketing ', ' Marketing Digital ', ' Médias ', ' Publicité ', ' Référencement SEO ', ' Relations Publiques ', ' Reporting ', ' SEA ', ' Secrétariat ', ' SEO']",Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,"CDI, CDD & Intérim",30.01.2025,https://www.emploi.ma/offre-emploi-maroc/marketing-manager-casablanca-finance-city-8747940
Responsable Laboratoire et Qualité (BTP) - Dar Bouazza,SAINT GOBAIN MAROC,Casablanca-Mohammedia,"['BTP ', ' Chimie Analytique ', ' Résistance des Matériaux']",Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-laboratoire-qualite-btp-dar-bouazza-8748045
Ingénieur en Électrotechnique - Casablanca,3F INDUSTRIE,Casablanca-Mohammedia,"['AUTOCAD ', ' Dimensionnement ', ' Électrotechnique ', ' EPLAN ', ' Maintenance ', ' Production ', ' Qualité']",Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/ingenieur-electrotechnique-casablanca-8749175
Spécialiste Assurance Qualité - Docteur en Pharmacie  - Berrechid,ATLAS PHARM,Casablanca-Mohammedia & Settat,"['BPF ', ' Maintenance ', ' Production ', ' Qualité']",Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/specialiste-assurance-qualite-docteur-pharmacie-berrechid-8749258
UX/UI Designer - Casablanca,VISION BUSINESS CONSULTING,Casablanca-Mohammedia,"['BPF ', ' Maintenance ', ' Production ', ' Qualité']",Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Freelance,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/uxui-designer-casablanca-8752270
Technicien Fabrication Mécanique ou Mécanique Auto  - Tanger,COMPAGNIE INDUSTRIELLE DES FIBRES,Tanger-Tétouan-Al Hoceïma,"['Électromécanique ', ' Fabrication ', ' Fabrication Mécanique ', ' Machines ', ' Maintenance ', ' Paramétrage ', ' Production ', ' Qualité']",Bac+2,Expérience entre 2 ans et 5 ans,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-fabrication-mecanique-mecanique-auto-tanger-8221451
Technicien de Maintenance  - Tanger,COMPAGNIE INDUSTRIELLE DES FIBRES,Tanger-Tétouan-Al Hoceïma,"['Électromécanique ', ' Extrusion ', ' Machines ', ' Maintenance ', ' Maintenance Préventive ', ' Outillage ', ' Qualité']",Bac+2,Expérience entre 2 ans et 5 ans,CDI,30.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-maintenance-tanger-8364008
